Bild1 	 Gen1 	 Stage 	 Bild2 	 Gen2 	 Wert
insitu10026.png	"CG6897"	5880	insitu11994.png	"Thiolase"	0.7337100804782671
insitu10026.png	"CG6897"	5880	insitu12039.png	"CG9322"	-0.3278741461733901
insitu10026.png	"CG6897"	5880	insitu12040.png	"CG9322"	-0.2767063689461515
insitu10026.png	"CG6897"	5880	insitu12041.png	"CG9322"	-0.19097781583317025
insitu10026.png	"CG6897"	5880	insitu12070.png	"CG14657"	0.8160604760976995
insitu10026.png	"CG6897"	5880	insitu12071.png	"CG14657"	0.7021147279014334
insitu10026.png	"CG6897"	5880	insitu12078.png	"CG6755"	0.7910195422121422
insitu10026.png	"CG6897"	5880	insitu12085.png	"GM130"	0.8276929007504482
insitu10026.png	"CG6897"	5880	insitu12101.png	"CG6981"	0.1930119127247936
insitu10026.png	"CG6897"	5880	insitu12150.png	"Sulf1"	0.6210961247482053
insitu10026.png	"CG6897"	5880	insitu12173.png	"trol"	0.23911300693573956
insitu10026.png	"CG6897"	5880	insitu12188.png	"mbc"	0.767041002881081
insitu10026.png	"CG6897"	5880	insitu12205.png	"trx"	0.7056067218211971
insitu10026.png	"CG6897"	5880	insitu12206.png	"trx"	0.7653680931226919
insitu10026.png	"CG6897"	5880	insitu12231.png	"Ama"	0.5648598455165326
insitu10026.png	"CG6897"	5880	insitu12232.png	"Ama"	0.44009493398727334
insitu10026.png	"CG6897"	5880	insitu12233.png	"Ama"	0.4976871406951237
insitu10026.png	"CG6897"	5880	insitu12256.png	"Ama"	0.6331679323495939
insitu10026.png	"CG6897"	5880	insitu12257.png	"Ama"	0.5867472355674789
insitu10026.png	"CG6897"	5880	insitu12261.png	"dock"	0.6755016168227368
insitu10026.png	"CG6897"	5880	insitu12262.png	"dock"	0.7279732793536987
insitu10026.png	"CG6897"	5880	insitu12274.png	"CG10737"	-0.11584795032266923
insitu10026.png	"CG6897"	5880	insitu12283.png	"CG7861"	0.6582478680128167
insitu10026.png	"CG6897"	5880	insitu12288.png	"CG11107"	0.8448162989729314
insitu10026.png	"CG6897"	5880	insitu12298.png	"bgm"	0.7628084752221053
insitu10026.png	"CG6897"	5880	insitu12299.png	"bgm"	0.7314746776018799
insitu10026.png	"CG6897"	5880	insitu12338.png	"TXBP181-like"	0.8094823388277435
insitu10026.png	"CG6897"	5880	insitu12339.png	"TXBP181-like"	0.7089966351861489
insitu10026.png	"CG6897"	5880	insitu12352.png	"CG7187"	0.7358602221454756
insitu10026.png	"CG6897"	5880	insitu12364.png	"pros"	-0.2125232563735489
insitu10026.png	"CG6897"	5880	insitu12382.png	"ome"	-0.2209807415273703
insitu10026.png	"CG6897"	5880	insitu12389.png	"cdc2c"	0.7057568211067958
insitu10026.png	"CG6897"	5880	insitu12417.png	"CalpA"	0.164901135026814
insitu10026.png	"CG6897"	5880	insitu12424.png	"CalpA"	0.5146951639177402
insitu10026.png	"CG6897"	5880	insitu12429.png	"CG3273"	0.7483261185833691
insitu10026.png	"CG6897"	5880	insitu12430.png	"CG3273"	0.7923095767680559
insitu10026.png	"CG6897"	5880	insitu12450.png	"Gp93"	0.736015330886966
insitu10026.png	"CG6897"	5880	insitu12459.png	"CG10473"	0.6726722494381367
insitu10026.png	"CG6897"	5880	insitu12470.png	"CG9346"	0.7808295143404878
insitu10026.png	"CG6897"	5880	insitu12487.png	"CG3522"	0.6584123832765837
insitu10026.png	"CG6897"	5880	insitu12501.png	"CG33104"	0.6234366016306689
